title,overview,release_date,genres,popularity,vote_average,vote_count
Double Team,"A CIA agent is interned for failing to kill an international terrorist. Escaping from his island exile, he teams up with a flamboyant arms dealer and sets out to find the terrorist and rescue the agent's family. Together they're a two-man arsenal... with enough voltage to rock the free world.",1997-04-04,"Action, Science Fiction",18.303,5.1,672
The Surprise Visit,"When a young couple makes a surprise visit to Mom, they get an even bigger surprise themselves from an old family friend who plans to steal Mom’s valuable jewelry while she is out of town. But when the “easy peasy” robbery goes wrong, resulting in the accidental death of the daughter’s husband, it forces the two young drug addicts to make a difficult decision: to abandon ship, or do the unthinkable.",2022-01-14,"Thriller, Crime",18.302,5.2,14
Little Children,"The lives of two lovelorn spouses from separate marriages, a registered sex offender, and a disgraced ex-police officer intersect as they struggle to resist their vulnerabilities and temptations.",2006-10-06,"Drama, Romance",18.3,7.1,858
Klute,A high-priced call girl is forced to depend on a reluctant private eye when she is stalked by a psychopath.,1971-06-23,"Mystery, Thriller, Crime",18.295,6.8,352
The Open House,A teenager and his mother find themselves besieged by threatening forces when they move into a new house.,2018-01-19,"Horror, Thriller",18.291,3.7,1281
Sunset Boulevard,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,1950-08-10,Drama,18.289,8.4,2267
The Invincible Iron Man,"When a cocky industrialist's efforts to raise an ancient Chinese temple leads him to be seriously wounded and captured by enemy forces, he must use his ideas for a revolutionary power armor in order to fight back as a superhero.",2007-01-23,"Action, Adventure, Animation, Fantasy, Science Fiction",18.281,6.1,208
The Trust,A pair of cops investigating a drug invasion stumble upon a mysterious bank vault.,2016-04-29,"Crime, Thriller",18.275,5.1,426
FUBAR Vol. 1,Disturbing shock footage mixtape,2014-01-01,"Documentary, Horror",18.272,6.4,8
"tick, tick... BOOM!","On the cusp of his 30th birthday, Jonathon Larson, a promising young theater composer, navigates love, friendship, and the pressures of life as an artist in New York City.",2021-11-11,"Drama, Music",18.269,7.7,1789
The Toybox,"An estranged family take a trip to the desert in their used RV and become stranded and isolated in the scorching terrain. They soon learn their RV holds terrible, haunting secrets, and it starts killing them off one by one.",2018-09-14,"Horror, Thriller",18.267,4.2,84
The Scorpion King,"In ancient Egypt, peasant Mathayus is hired to exact revenge on the powerful Memnon and the sorceress Cassandra, who are ready to overtake Balthazar's village. Amid betrayals, thieves, abductions and more, Mathayus strives to bring justice to his complicated world.",2002-04-18,"Action, Adventure, Fantasy",18.26,5.6,2835
Stigmata,"A young woman with no strong religious beliefs, Frankie Paige begins having strange and violent experiences, showing signs of the wounds that Jesus received when crucified. When the Vatican gets word of Frankie's situation, a high-ranking cardinal requests that the Rev. Andrew Kiernan investigate her case. Soon Kiernan realizes that very sinister forces are at work, and tries to rescue Frankie from the entity that is plaguing her.",1999-09-10,"Horror, Thriller",18.259,6.2,951
High Noon,"Will Kane, the sheriff of a small town in New Mexico, learns a notorious outlaw he put in jail has been freed, and will be arriving on the noon train. Knowing the outlaw and his gang are coming to kill him, Kane is determined to stand his ground, so he attempts to gather a posse from among the local townspeople.",1952-06-09,"Western, Drama",18.259,7.7,1251
The Phantom,The 21st successor to the role of Bengalla's resident superhero must travel to New York to prevent a rich madman from obtaining three magic skulls that would give him the secret to ultimate power.,1996-06-06,"Adventure, Action",18.256,5.2,503
The Tragedy of Macbeth,"Macbeth, the Thane of Glamis, receives a prophecy from a trio of witches that one day he will become King of Scotland. Consumed by ambition and spurred to action by his wife, Macbeth murders his king and takes the throne for himself.",2021-12-05,"Drama, War",18.245,7.0,611
Scoop,"An American journalism student in London scoops a big story, and begins an affair with an aristocrat as the incident unfurls.",2006-07-27,"Comedy, Mystery",18.245,6.6,1483
Halloween: Resurrection,"Serial Killer Michael Myers is not finished with Laurie Strode, and their rivalry finally comes to an end. But is this the last we see of Myers? Freddie Harris and Nora Winston are reality programmers at DangerTainment, and are planning to send a group of 6 thrill-seeking teenagers into the childhood home of Myers. Cameras are placed all over the house and no one can get out of the house... and then Michael arrives home!",2002-07-01,"Horror, Thriller",18.244,4.6,1101
Danger Close: The Battle of Long Tan,"Vietnam War, 1966. Australia and New Zealand send troops to support the United States and South Vietnamese in their fight against the communist North. Soldiers are very young men, recruits and volunteers who have never been involved in a combat. On August 18th, members of Delta Company will face the true horror of a ruthless battle among the trees of a rubber plantation called Long Tân. They are barely a hundred. The enemy is a human wave ready to destroy them.",2019-08-08,"War, Action, Drama, History",18.24,6.9,270
Max,A dog that helped soldiers in Afghanistan returns to the U.S. and is adopted by his handler's family after suffering a traumatic experience.,2015-06-26,"Adventure, Drama",18.238,7.2,732
Curious George 2: Follow That Monkey!,"The film chronicles George's adventures as he befriends Kayla, a baby elephant, at a magic circus show and helps her travel across the country to be reunited with her family.Accompanied by his friend, the Man with the Yellow Hat, George travels by foot, train, and truck to reach Kayla's brother and sister in California, only to be accused of elephant-napping and brought all the way back to New York.",2009-08-07,"Animation, Family",18.233,6.6,100
The House with a Clock in Its Walls,"When ten-year-old Lewis is suddenly orphaned, he is sent to live with his Uncle Jonathan in a creaky (and creepy) old mansion with a mysterious ticking noise that emanates from the walls. Upon discovering that his uncle is a warlock, Lewis begins learning magic, but when he rebelliously resurrects an evil warlock he must find the secret of the house and save the world from destruction.",2018-09-15,"Fantasy, Family, Comedy",18.228,6.2,1981
Something Borrowed,"Though Rachel is a successful attorney and a loyal, generous friend, she is still single. After one drink too many at her 30th-birthday celebration, Rachel unexpectedly falls into bed with her longtime crush, Dex -- who happens to be engaged to her best friend, Darcy. Ramifications of the liaison threaten to destroy the women's lifelong friendship, while Ethan, Rachel's confidant, harbors a potentially explosive secret of his own.",2011-05-05,"Comedy, Drama, Romance",18.225,6.3,950
The Hand that Rocks the Cradle,"A suburban family chooses seemingly sweet Peyton Flanders as their newborn's nanny. Only much later does the infant's mother, Claire Bartel, realize Peyton's true intentions -- to destroy Claire and replace her in the family. The nail-biting suspense builds quickly in this chilling psychological thriller about deception and bitter revenge.",1992-01-10,"Drama, Thriller",18.224,6.9,786
Crocodile Dundee II,Australian outback expert protects his New York love from gangsters who've followed her down under.,1988-05-19,"Adventure, Comedy",18.221,5.8,986
Judgment at Nuremberg,"In 1947, four German judges who served on the bench during the Nazi regime face a military tribunal to answer charges of crimes against humanity. Chief Justice Haywood hears evidence and testimony not only from lead defendant Ernst Janning and his defense attorney Hans Rolfe, but also from the widow of a Nazi general, an idealistic U.S. Army captain and reluctant witness Irene Wallner.",1961-12-18,"Drama, History, War",18.217,8.0,663
Project X,"A young inductee into the military is given the task of looking after some chimpanzees used in the mysterious 'Project X'. Getting to know the chimps fairly well, he begins to suspect there is more to the secret project than he is being told.",1987-04-17,"Drama, Comedy",18.212,6.3,229
In Hell,A man must survive a prison where hardened criminals battle to the death for the warden's entertainment.,2003-11-24,Action,18.206,6.5,465
Scooby-Doo! Shaggy's Showdown,"When the Scooby gang visits a dude ranch, they discover that it and the nearby town have been haunted by a ghostly cowboy, Dapper Jack, who fires real fire from his fire irons. The mystery only deepens when it’s discovered that the ghost is also the long lost relative of Shaggy Rogers!",2017-02-14,"Animation, Family, Mystery, Comedy, Western",18.204,7.9,161
Killers,"When an elite assassin marries a beautiful computer whiz after a whirlwind romance, he gives up the gun and settles down with his new bride. That is, until he learns that someone from his past has put a contract out on his life.",2010-06-04,"Action, Comedy, Thriller, Romance",18.204,5.9,2030
Moneyball,"The story of Oakland Athletics general manager Billy Beane's successful attempt to put together a baseball team on a budget, by employing computer-generated analysis to draft his players.",2011-09-23,Drama,18.202,7.3,4561
The Poison Rose,"A down-on-his-luck PI is hired by his old flame to investigate a murder. But while the case at first appears routine, it slowly reveals itself to be a complex interwoven web of crimes, suspects and dead bodies.",2019-05-23,"Thriller, Crime",18.201,4.7,293
Home Again,Life for a single mom in Los Angeles takes an unexpected turn when she allows three young guys to move in with her.,2017-09-07,"Comedy, Drama, Romance",18.197,6.1,1115
The Last Emperor,"A dramatic history of Puyi, the last of the Emperors of China, from his lofty birth and brief reign in the Forbidden City, the object of worship by half a billion people; through his abdication, his decline and dissolute lifestyle; his exploitation by the invading Japanese, and finally to his obscure existence as just another peasant worker in the People's Republic.",1987-10-04,"Drama, History",18.192,7.6,1464
The Mothman Prophecies,Reporter John Klein is plunged into a world of impossible terror and unthinkable chaos when fate draws him to a sleepy West Virginia town whose residents are being visited by a great winged shape that sows hideous nightmares and fevered visions.,2002-01-25,"Drama, Horror, Mystery",18.192,6.2,971
Sharknado 2: The Second One,"A freak weather system turns its deadly fury on New York City, unleashing a Sharknado on the population and its most cherished, iconic sites - and only Fin and April can save the Big Apple.",2014-07-30,"Thriller, Science Fiction",18.19,4.6,596
All Eyez on Me,"All Eyez on Me chronicles the life and legacy of Tupac Shakur, including his rise to superstardom as a hip-hop artist, actor, poet and activist, as well as his imprisonment and prolific, controversial time at Death Row Records. Against insurmountable odds, Tupac rose to become a cultural icon whose career and persona both continue to grow long after his passing.",2017-06-12,"Drama, Music",18.188,6.7,1098
The Love Bug,"Down-on-his-luck race car driver Jim Douglas teams up with a little VW Bug that has a mind of its own, not realizing Herbie's worth until a sneaky rival plots to steal him.",1968-12-23,"Comedy, Family, Fantasy",18.187,6.5,518
Colonia,"A young woman's desperate search for her abducted boyfriend draws her into the infamous Colonia Dignidad, a sect nobody ever escaped from.",2015-06-24,"Drama, History",18.186,7.3,1795
Australia,"Set in northern Australia before World War II, an English aristocrat who inherits a sprawling ranch reluctantly pacts with a stock-man in order to protect her new property from a takeover plot. As the pair drive 2,000 head of cattle over unforgiving landscape, they experience the bombing of Darwin by Japanese forces firsthand.",2008-11-18,"Adventure, Drama, Romance",18.186,6.6,2097
The Assignment,"Ace assassin Frank Kitchen is double crossed by gangsters and falls into the hands of rogue surgeon known as The Doctor who turns him into a woman. The hitman, now a hitwoman, sets out for revenge, aided by a nurse named Johnnie who also has secrets.",2016-06-08,"Action, Crime, Thriller",18.186,5.5,457
Little Monsters,A young boy is scared of the monster under his bed. He asks his 6th grade brother to swap rooms for the night as a bet that the monster really exists. Soon the brother becomes friends with the monster and discovers a whole new world of fun and games under his bed where pulling pranks on kids and other monsters is the main attraction.,1989-08-25,"Adventure, Fantasy, Comedy, Family",18.184,5.8,177
In Bruges,"Ray and Ken, two hit men, are in Bruges, Belgium, waiting for their next mission. While they are there they have time to think and discuss their previous assignment. When the mission is revealed to Ken, it is not what he expected.",2008-02-08,"Comedy, Drama, Crime",18.184,7.5,4561
Final Score,"When a stadium is seized by a group of heavily armed criminals during a major sporting event, an ex-soldier must use all his military skills to save both the daughter of a fallen comrade and the huge crowd unaware of the danger.",2018-09-07,"Action, Thriller",18.183,6.1,459
Downfall: The Case Against Boeing,Investigators reveal how Boeing’s alleged priority of profit over safety could have contributed to two catastrophic crashes within months of each other.,2022-02-09,Documentary,18.182,7.1,138
Rim of the World,"Stranded at a summer camp when aliens attack the planet, four teens with nothing in common embark on a perilous mission to save the world.",2019-05-24,"Science Fiction, Adventure, Action, Comedy",18.178,6.0,866
Seven Years in Tibet,"Austrian mountaineer, Heinrich Harrer journeys to the Himalayas without his family to head an expedition in 1939. But when World War II breaks out, the arrogant Harrer falls into Allied forces' hands as a prisoner of war. He escapes with a fellow detainee and makes his way to Llaso, Tibet, where he meets the 14-year-old Dalai Lama, whose friendship ultimately transforms his outlook on life.",1997-09-12,"Adventure, Drama, History",18.177,7.2,2551
A Perfect Getaway,"For their honeymoon, newlyweds Cliff and Cydney head to the tropical islands of Hawaii. While journeying through the paradisaical countryside the couple encounters Kale and Cleo, two disgruntled hitchhikers and Nick and Gina, two wild but well-meaning spirits who help guide them through the lush jungles. The picturesque waterfalls and scenic mountainsides quickly give way to terror when Cliff and Cydney learn of a grisly murder that occurred nearby and realize that they're being followed by chance acquaintances that suspiciously fit the description of the killers.",2009-06-08,"Thriller, Mystery, Adventure",18.176,6.3,1121
Ben 10 Alien Swarm,Ben and a mysterious girl from his past must prevent an alien threat from destroying the world.,2009-11-25,Adventure,18.174,6.2,295
Last Christmas,"Kate is a young woman who has a habit of making bad decisions, and her last date with disaster occurs after she accepts work as Santa's elf for a department store. However, after she meets Tom there, her life takes a new turn.",2019-11-07,"Comedy, Romance",18.174,7.2,2115
Shaft,"New York police detective John Shaft arrests Walter Wade Jr. for a racially motivated slaying. But the only eyewitness disappears, and Wade jumps bail for Switzerland. Two years later Wade returns to face trial, confident his money and influence will get him acquitted -- especially since he's paid a drug kingpin to kill the witness.",2000-06-15,"Action, Adventure, Crime, Thriller",18.173,6.0,1136
The Third Man,"In postwar Vienna, Austria, Holly Martins, a writer of pulp Westerns, arrives penniless as a guest of his childhood chum Harry Lime, only to learn he has died. Martins develops a conspiracy theory after learning of a ""third man"" present at the time of Harry's death, running into interference from British officer Major Calloway, and falling head-over-heels for Harry's grief-stricken lover, Anna.",1949-08-31,"Thriller, Mystery",18.172,8.0,1617
The Assassination of Jesse James by the Coward Robert Ford,"Outlaw Jesse James is rumored to be the 'fastest gun in the West'. An eager recruit into James' notorious gang, Robert Ford eventually grows jealous of the famed outlaw and, when Robert and his brother sense an opportunity to kill James, their murderous action elevates their target to near mythical status.",2007-09-07,"Action, Drama, Western",18.163,7.1,2231
Critters Attack!,"Follows 20-year-old Drea, who reluctantly takes a job babysitting for a professor of a college she hopes to attend. Struggling to entertain the professor's children Trissy and Jake, along with her own little brother Phillip , Drea takes them on a hike, unaware that mysterious alien critters have crash-landed and started devouring every living thing they encounter.",2019-07-13,"Horror, Science Fiction, Comedy, TV Movie",18.161,5.7,177
Hostile,"Juliette, a lone survivor of an apocalyptic era, fights to survive against hunger, thirst, a broken leg and strange disturbing creatures that only come out at nighttime.",2018-03-08,"Drama, Horror, Romance, Science Fiction",18.155,5.8,307
Wild Orchid,A woman lawyer becomes mesmerized by a self-made millionaire during an encounter in Rio setting off a series of erotic encounters.,1989-12-22,"Romance, Drama",18.152,5.3,253
Paycheck,"Michael Jennings is a genius who's hired – and paid handsomely – by high-tech firms to work on highly sensitive projects, after which his short-term memory is erased so he's incapable of breaching security. But at the end of a three-year job, he's told he isn't getting a paycheck and instead receives a mysterious envelope. In it are clues he must piece together to find out why he wasn't paid – and why he's now in hot water.",2003-12-25,"Action, Adventure, Mystery, Science Fiction, Thriller",18.146,6.2,1614
"Lock, Stock and Two Smoking Barrels",A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,1998-08-28,"Comedy, Crime",18.145,8.1,5989
The Perfect Guy,"After a painful breakup, Leah seems to meet the perfect guy. But she soon discovers someone mysteriously lurking around her surroundings.",2015-09-11,Thriller,18.142,5.7,297
My Little Pony: Equestria Girls - Rainbow Rocks,"Music rules and rainbows rock as Twilight Sparkle and pals compete for the top spot in the Canterlot High ""Mane Event"" talent show. The girls must rock their way to the top, and outshine rival Adagio Dazzle and her band The Dazzlings, to restore harmony back to Canterlot High.",2014-09-27,"Family, Animation, Music",18.142,8.1,147
The Jackal,"Hired by a powerful member of the Russian mafia to avenge an FBI sting that left his brother dead, a psychopathic hitman known only as The Jackal proves an elusive target for the people charged with the task of bringing him down: a deputy FBI director, a Russian MVK Major,  and a jailed IRA terrorist who can recognize him.",1997-11-14,"Action, Thriller, Adventure, Crime",18.142,6.3,1655
Kill Command,"Set in a near future, technology-reliant society that pits man against killing machines. Against this backdrop an elite army unit is helicoptered to a remote, off-the-grid island training facility. What starts out as a simple training exercise for Captain Bukes and his tight-knit unit, descends into a terrifying battle to the death, as the marines discover the island is overrun by an enemy that transcends the human concept of evil.",2016-05-13,"Action, Horror, Science Fiction, Thriller",18.142,5.6,517
Barbershop: The Next Cut,"To survive harsh economic times, Calvin and Angie have merged the barbershop and beauty salon into one business. The days of male bonding are gone as Eddie and the crew must now contend with sassy female co-workers and spirited clientele. As the battle of the sexes rages on, a different kind of conflict has taken over Chicago. Crime and gangs are on the rise, leaving Calvin worried about the fate of his son. Together, the friends come up with a bold plan to take back their beloved neighborhood.",2016-04-15,"Comedy, Drama",18.141,6.3,411
Private Resort,"Jack and his buddy Ben check in at a posh Florida resort, planning to spend every hour in hot pursuit of gorgeous babes. But their plans hit a major detour when they try to bed the wife of a conniving jewel thief. They'll have to outsmart him, a nasty security guard and an obnoxious jock if they're ever going to get a moment alone with the girls of their dreams!",1985-05-03,Comedy,18.138,5.7,190
The Holiday,"Two women, one from the United States and one from the United Kingdom, swap homes at Christmas time after bad breakups with their boyfriends. Each woman finds romance with a local man but realizes that the imminent return home may end the relationship.",2006-12-08,"Comedy, Romance",18.132,7.1,4526
A Nice Girl Like You,"Lucy Neal is thrown for a loop when she is accused of being too inhibited by her ex-boyfriend. In an effort to prove him wrong, Lucy creates a rather wild to-do list that sends her on a whirlwind and surprising journey of self-discovery, friendship, and new love.",2020-07-18,"Comedy, Romance",18.131,5.8,275
Vegas Vacation,"The Griswold family hits the road again for a typically ill-fated vacation, this time to the glitzy mecca of slots and showgirls—Las Vegas.",1997-02-13,Comedy,18.126,6.1,549
Transformers One,The story of how a young Optimus Prime and Megatron went from being brothers-in-arms to sworn enemies.,2024-09-12,"Animation, Science Fiction, Adventure, Action, Family",18.125,0.0,0
Despicable Me 4,The fourth installment of the Despicable Me franchise.,2024-07-03,"Animation, Family, Comedy, Adventure",18.125,0.0,0
Primal,"A big-game hunter for zoos books passage on a Greek shipping freighter with a fresh haul of exotic and deadly animals from the Amazon, including a rare white Jaguar – along with a political assassin being extradited to the U.S in secret. Two days into the journey, the assassin escapes and releases the captive animals, throwing the ship into chaos.",2019-12-27,"Action, Adventure, Thriller",18.12,5.7,298
if....,"In an English boys' boarding school, social hierarchy reigns supreme and power remains in the hands of distanced and ineffectual teachers and callously vicious prefects in the Upper Sixth. Three Lower Sixth students, Wallace, Johnny and leader Mick Travis decide on a shocking course of action to redress the balance of privilege once and for all.",1968-12-19,Drama,18.117,7.1,316
Murder by Numbers,"Tenacious homicide detective Cassie Mayweather and her still-green partner are working a murder case, attempting to profile two malevolently brilliant young men: cold, calculating killers whose dark secrets might explain their crimes.",2002-04-19,"Crime, Drama, Thriller",18.115,6.1,897
Chestnut: Hero of Central Park,"Ray and Sal, two orphaned sisters, adopt and hide a Great Dane puppy from their two adopted parents living in a luxury downtown New York apartment that expressely forbids dogs.",2004-10-21,"Family, Comedy",18.114,7.2,183
The Day of the Jackal,"An international assassin known as ‘The Jackal’ is employed by disgruntled French generals to kill President Charles de Gaulle, with a dedicated gendarme on the assassin’s trail.",1973-05-15,"Action, Thriller",18.112,7.5,466
The Colony,"Forced underground by the next ice age, a struggling outpost of survivors must fight to preserve humanity against a threat even more savage than nature.",2013-04-12,"Action, Science Fiction, Thriller",18.111,5.4,1034
Vengeance,A journalist and podcaster from New York City travels to West Texas in order to report on the death of a girl he was hooking up with.,2022-07-29,"Thriller, Mystery, Comedy",18.109,6.7,238
Fast & Furious Presents: Hobbs VS Reyes,A spin-off of the Fast & Furious franchise focusing on former DSS agent Luke Hobbs and his feud with Dante Reyes.,,Action,18.109,0.0,0
Before Sunset,"Nine years later, Jesse travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine. After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more.",2004-02-10,"Drama, Romance",18.107,7.8,3017
The Animal,"When loser Marvin Mange is involved in a horrible car accident, he's brought back to life by a deranged scientist as half man and half animal. His newfound powers are awesome -- but their adverse side effects could take over his life. Now, Marvin must fight to control his crazy primal urges around his new squeeze, Rianna, and his rival, Sgt. Sisk, who both think he's one cool cat.",2001-06-01,Comedy,18.099,5.1,1110
Stuck in Love,"An acclaimed writer, his ex-wife, and their teenaged children come to terms with the complexities of love in all its forms over the course of one tumultuous year.",2013-06-14,"Drama, Comedy",18.099,7.4,1774
"Hail, Caesar!","When a Hollywood star mysteriously disappears in the middle of filming, the studio sends their fixer to get him back.",2016-02-05,"Comedy, Drama, Mystery",18.094,5.9,3528
FYP,"An insurance agent, Gloria, finds out she has only three months to live. She quits the job she has always hated and starts to follow her own wish to live.",2016-06-22,Drama,18.088,0.0,0
To All the Boys: P.S. I Still Love You,Lara Jean and Peter have just taken their romance from pretend to officially real when another recipient of one of her love letters enters the picture.,2020-02-12,"Romance, Comedy",18.082,6.9,2384
Marauders,An untraceable group of elite bank robbers is chased by a suicidal FBI agent who uncovers a deeper purpose behind the robbery-homicides.,2016-07-01,"Action, Crime, Thriller",18.08,5.8,558
Black Mirror: Bandersnatch,"In 1984, a young programmer begins to question reality as he adapts a dark fantasy novel into a video game. A mind-bending tale with multiple endings.",2018-12-28,"Science Fiction, Mystery, Drama, Thriller, TV Movie",18.08,6.8,3635
The Thing About Harry,"Two high school enemies, uber-jock Harry and out-and-proud Sam, are forced to share a car ride to their Missouri hometown for a friend's engagement party on Valentine's Day. Things take a turn when Sam learns Harry has come out.",2020-02-15,"Romance, TV Movie, Comedy",18.072,7.0,190
OtherLife,"Ren Amari is the driven inventor of a revolutionary new drug. OtherLife expands the brain's sense of time and creates virtual reality directly in the user's mind. With OtherLife, mere seconds in real life feel like hours or days of exciting adventures. As Ren and her colleagues race around the clock to launch OtherLife, the government muscles in to use the drugs as a radical solution to prison overcrowding. They will create virtual cells where criminals serve long sentences in just minutes of real time. When Ren resists, she finds herself an unwilling guinea pig trapped in a prison cell in her mind. She must escape before she descends into madness, and then regain control of OtherLife before others suffer the same fate.",2017-06-16,"Science Fiction, Crime, Mystery",18.07,6.4,358
Bridget Jones: The Edge of Reason,"Bridget Jones is becoming uncomfortable in her relationship with Mark Darcy. Apart from discovering that he's a conservative voter, she has to deal with a new boss, a strange contractor and the worst vacation of her life.",2004-11-10,"Comedy, Romance",18.063,6.3,2529
The Girl with All the Gifts,"In the future, a strange fungus has changed nearly everyone into a thoughtless, flesh-eating monster. When a scientist and a teacher find a girl who seems to be immune to the fungus, they all begin a journey to save humanity.",2016-09-23,"Action, Horror, Science Fiction",18.062,6.5,1805
Babylon A.D.,A veteran-turned-mercenary is hired to take a young woman with a secret from post-apocalyptic Eastern Europe to New York City.,2008-08-20,"Action, Adventure, Science Fiction, Thriller",18.059,5.6,1826
Love in the Villa,"A young woman takes a trip to romantic Verona, Italy, after a breakup, only to find that the villa she reserved was double-booked, and she'll have to share her vacation with a cynical British man.",2022-09-01,"Romance, Comedy",18.057,6.0,284
Hercules in New York,"Hercules is sent from Mount Olympus to modern-day Manhattan, where he takes up professional wrestling before getting mixed up with a gang of mobsters.",1970-02-23,"Comedy, Adventure, Fantasy",18.056,4.1,253
Paradise Hills,"A young woman is sent to Paradise Hills to be reformed, only to learn that the high-class facility's beautiful facade hides a sinister secret.",2019-08-29,"Fantasy, Science Fiction, Thriller",18.046,6.0,466
Look Both Ways,"On the eve of her college graduation, Natalie's life diverges into two parallel realities: one in which she becomes pregnant and must navigate motherhood as a young adult in her Texas hometown, the other in which she moves to LA to pursue her career. In both journeys throughout her twenties, Natalie experiences life-changing love, devastating heartbreak and rediscovers herself.",2022-08-16,"Romance, Drama, Comedy",18.045,6.9,531
Quills,"A nobleman with a literary flair, the Marquis de Sade lives in a madhouse where a beautiful laundry maid smuggles his erotic stories to a printer, defying orders from the asylum's resident priest. The titillating passages whip all of France into a sexual frenzy, until a fiercely conservative doctor tries to put an end to the fun.",2000-11-22,Drama,18.043,7.1,560
Romeo and Juliet,"Romeo Montague and Juliet Capulet fall in love against the wishes of their feuding families. Driven by their passion, the young lovers defy their destiny and elope, only to suffer the ultimate tragedy.",1968-04-02,"Drama, Romance",18.043,7.3,595
Oculus,A woman tries to exonerate her brother's murder conviction by proving that the crime was committed by a supernatural phenomenon.,2013-09-08,Horror,18.04,6.4,2678
50/50,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",2011-09-30,"Comedy, Drama",18.035,7.2,3447
Sweet November,"Nelson is a man devoted to his advertising career in San Francisco. One day, while taking a driving test at the DMV, he meets Sara. She is very different from the other women in his life. Nelson causes her to miss out on taking the test and later that day she tracks him down. One thing leads to another and Nelson ends up living with her through a November that will change his life forever.",2001-02-16,"Drama, Romance",18.035,6.9,1169
Kate,A ruthless criminal operative has less than 24 hours to exact revenge on her enemies and in the process forms an unexpected bond with the daughter of one of her past victims.,2021-09-10,Action,18.03,6.7,1284
The Wolf and the Lion,"After her grandfather's death, 20-year-old Alma decides to go back to her childhood home - a little island in the heart of the majestic Canadian forest. Whilst there, she rescues two helpless cubs: a wolf and a lion. They forge an inseparable bond, but their world soon collapses as the forest ranger discovers the animals and takes them away. The two cub brothers must now embark on a treacherous journey across Canada to be reunited with one another and Alma once more.",2021-10-13,"Family, Adventure",18.029,7.5,360
Victor Frankenstein,Eccentric scientist Victor Von Frankenstein creates a grotesque creature in an unorthodox scientific experiment.,2015-11-10,"Drama, Science Fiction, Thriller",18.026,5.9,1958
About Fate,"Two strangers believe in love but never seem to be able to find its true meaning. In a wild twist of events, fate puts each in the other's path on one stormy New Year's Eve.",2022-09-08,"Romance, Comedy",18.024,7.4,244
Alive,"The amazing, true story of a Uruguayan rugby team's plane that crashed in the middle of the Andes mountains, and their immense will to survive and pull through alive, forced to do anything and everything they could to stay alive on meager rations and through the freezing cold.",1993-01-15,"Adventure, Drama, Thriller",18.021,6.9,1268
The Piano,"After a long voyage from Scotland, pianist Ada McGrath and her young daughter, Flora, are left with all their belongings, including a piano, on a New Zealand beach. Ada, who has been mute since childhood, has been sold into marriage to a local man named Alisdair Stewart. Making little attempt to warm up to Alisdair, Ada soon becomes intrigued by his Maori-friendly acquaintance, George Baines, leading to tense, life-altering conflicts.",1993-05-19,"Drama, Romance",18.014,7.4,1315
Lethal Weapon 3,"Archetypal buddy cops Riggs and Murtaugh are back for another round of high-stakes action, this time setting their collective sights on bringing down a former Los Angeles police lieutenant turned black market weapons dealer. Lorna Cole joins as the beautiful yet hardnosed internal affairs sergeant who catches Riggs's eye.",1992-05-15,"Adventure, Action, Comedy, Thriller, Crime",18.011,6.7,2584
Hush,A deaf woman is stalked by a psychotic killer in her secluded home.,2016-03-12,"Horror, Thriller",18.01,6.7,4262
Menace II Society,A young street hustler attempts to escape the rigors and temptations of the ghetto in a quest for a better life.,1993-05-26,"Drama, Crime",18.008,7.6,664
Serpico,"Frank Serpico is an idealistic New York City cop who refuses to take bribes, unlike the rest of the force. His actions get Frank shunned by the other officers, and often placed in dangerous situations by his partners. When his superiors ignore Frank's accusations of corruption, he decides to go public with the allegations. Although this causes the Knapp Commission to investigate his claims, Frank has also placed a target on himself.",1973-12-18,"Crime, Drama",18.005,7.5,1679
LEGO Star Wars Holiday Special,"As her friends prep for a Life Day holiday celebration, Rey journeys with BB-8 on a quest to gain a deeper knowledge of the Force at a mysterious Jedi Temple. There, she embarks on a cross-timeline adventure through beloved moments in Star Wars history, coming into contact with iconic heroes and villains from all eras of the saga. But will she make it back in time for the Life Day feast?",2020-11-17,"Animation, Family, Adventure, Comedy, Science Fiction, Action, TV Movie",18.004,6.6,282
P2,A businesswoman finds herself locked with a unhinged security guard in a parking garage after getting stuck working late on Christmas Eve.,2007-11-09,"Horror, Thriller",18.003,6.2,737
Letters to Juliet,"An American girl on vacation in Italy finds an unanswered ""letter to Juliet"" -- one of thousands of missives left at the fictional lover's Verona courtyard, which are typically answered by the ""secretaries of Juliet"" -- and she goes on a quest to find the lovers referenced in the letter.",2010-05-13,"Comedy, Drama, Romance",18.003,7.0,2687
2036: Nexus Dawn,"This in-world short film takes place in the year 2036 and revolves around Jared Leto’s character, Niander Wallace. In this short, Wallace introduces a new line of “perfected” replicants called the Nexus 9, seeking to get the prohibition on replicants repealed. This no doubt has serious ramifications that will be crucial to the plot of Blade Runner 2049.",2017-08-30,"Science Fiction, Thriller",18.002,6.9,325
